rank,company,verified_buyer_name,role_title,linkedin_url_or_query,confidence_1_5,channel,source_url,note
1,Hillel IT School,Вадим Друмов,CEO & co-founder,linkedin.com/in/vadymdrumov/,5,LinkedIn / Telegram,https://itcluster.lviv.ua/en/hillel-it-school-joins-the-lviv-it-cluster-new-opportunities-for-students-and-businesses/,LinkedIn self-published on t.me/s/ithillel
2,Laba,Ілля Рейніш,Commercial Director & co-owner Laba Group,"""Ілля Рейніш"" OR ""Illia Reinish"" Laba",5,LinkedIn,https://mc.today/uk/najkrashhe-na-tebe-prosto-do-sudu-podadut-spivvlasnik-laba-pro-osoblivosti-roboti-v-yes/,Owns sales 7/9 markets incl UA; ideal buyer
3,Green Forest,Руслан Ниник,Founder & co-owner (Green Forest Family),"""Руслан Ниник"" OR ""Ruslan Nynyk"" Green Forest",5,LinkedIn / Instagram,https://ain.ua/2023/04/03/istoriya-merezhi-shkil-green-forest/,Co-founder Світлана Грибенюк as backup
4,EnglishDom,Максим Сундалов,Founder & CEO,"""Максим Сундалов"" OR ""Maksym Sundalov"" EnglishDom",5,LinkedIn,https://forbes.ua/leadership/angliyska-yak-marker-liderstva-mova-shcho-vidkrivae-komandi-ta-globalni-mozhlivosti-keys-englishdom-01122025-34441,Part of AllRight group since 2021 (Олег Оксюк)
5,GoIT,Антон Чорний,CEO & co-founder,"""Антон Чорний"" OR ""Anton Chornyi"" GoIT",5,LinkedIn,https://horizoncapital.com.ua/news-post/horizon-capital-backs-goit-fueling-ukrainian-companys-global-expansion/,Founder Роман Корицький (managing shareholder)
6,Optima (Оптіма),Ольга Білодід,Director (Центр освіти Оптіма),"""Ольга Білодід"" Оптіма",4,Email / Instagram,https://interfax.com.ua/news/press-conference/1005827.html,"Founder Марія Мілецька; enrollment tel 067/099 333 9187; verify sales vs academic role"
7,Mate academy,Роман Апостол,CEO & co-founder,"""Roman Apostol"" Mate academy",4,LinkedIn,https://inventure.com.ua/en/news/world/ukrainian-founders-of-mate-academy-raise-dollar10-million-for-the-first-product-of-their-new-studio-rist-labs,Founders launched Rist Labs/Kodree 2026 - verify focus; find Head of Admissions
8,robot_dreams,Ілля Рейніш,Commercial Director & co-owner Laba Group,"""Ілля Рейніш"" Laba Group",5,LinkedIn,https://laba.ua/blog/laba-turns-10-the-story-behind-the-start,Same contact as Laba - pitch once as Laba Group; Інна Чут CEO Laba Group UA
9,GoITeens,not verified,Head of Sales / Marketing (GoITeens),"""GoITeens"" (""Head of Sales"" OR ""Marketing"")",1,LinkedIn / Instagram,https://horizoncapital.com.ua/news-post/horizon-capital-backs-goit-fueling-ukrainian-companys-global-expansion/,No GoITeens-specific buyer verified; parent GoIT CEO Антон Чорний as founder-route
10,IAMPM,Mary Kirichek (Мері Кірічек),Founder,"""Mary Kirichek"" OR ""Мері Кірічек"" IAMPM",3,LinkedIn,https://en.ain.ua/2026/01/14/choice31-acquires-iampm/,Acquired by Choice31/FRACTAL Jan 2026 - verify role; Артем Бородатюк / Євгенія Глізер
